j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,3,2,3,-1,2.325,2.358,0.333333,2.78238,0,0.356176,0.067226,-0.055424,8.640222,6.508716,-12.476066,-7.797541
1,3,3,3,-1,3.45,2.259,0.333333,1.742671,0,0.355657,0.079944,-0.070917,8.911705,7.888341,-24.141759,-15.088599
1,3,4,3,-1,5.45,2.338,0.333333,0.971492,0,0.359755,0.097305,-0.098016,9.46261,11.203768,-61.506846,-38.441779
1,3,5,3,-1,7.45,2.339,0.333333,0.62915,0,0.3626,0.109305,-0.124373,10.098897,14.340987,-121.569277,-75.980798
1,3,6,3,-1,9.3,2.848,0.333333,0.45276,0,0.373899,0.120016,-0.152015,10.758642,21.759838,-256.322438,-160.201524
1,3,7,3,-1,11.625,3.708,0.09861,0.049737,0.760262,0.432228,0.197249,0.072358,11.807681,56.084961,239.17303,149.483144
1,3,8,3,-1,12.555,3.672,0.092486,0.039419,0.758012,0.429328,0.216164,0.072437,12.201706,64.996578,273.453141,170.908213
1,3,9,3,-1,13.95,3.418,0.080142,0.027086,0.752364,0.422049,0.242544,0.071744,12.837614,75.14407,310.073884,193.796178
1,3,10,3,-1,15.113,3.196,0.123573,0.074619,1.583503,0.311645,0.483446,0.275468,13.410592,152.831601,1316.096676,822.560422
1,3,11,3,-1,16.275,3.002,0.112294,0.059996,1.5797,0.305946,0.523667,0.284375,13.966273,168.651227,1490.553105,931.595691
1,3,12,3,-1,17.438,2.833,0.102836,0.048556,1.567082,0.301536,0.561191,0.288938,14.528886,184.579903,1657.202476,1035.751547
1,3,13,3,-1,18.6,2.687,0.095301,0.040028,1.555349,0.295132,0.597765,0.292359,15.100468,201.43819,1832.48255,1145.301594
1,3,14,3,-1,19.763,2.561,0.089221,0.033544,1.543914,0.287267,0.632673,0.294551,15.682087,219.159151,2016.474163,1260.296352
1,3,15,3,-1,20.925,2.452,0.084352,0.0285,1.533018,0.279625,0.665753,0.295123,16.271648,237.716504,2205.030736,1378.14421
1,3,16,3,-1,22.088,2.358,0.080334,0.024497,1.520132,0.271521,0.695237,0.293779,16.870339,256.618021,2395.137892,1496.961182
1,3,17,3,-1,23.25,2.276,0.079771,0.022129,1.560037,0.268079,0.748175,0.302743,17.4725,285.922561,2689.940128,1681.21258
1,3,18,3,-1,24.413,2.203,0.07718,0.019598,1.551806,0.25847,0.773696,0.300395,18.088247,306.71886,2907.261816,1817.038635
1,3,19,3,-1,25.575,2.138,0.075131,0.017525,1.543049,0.248125,0.794775,0.296986,18.710215,327.168815,3126.649298,1954.155811
1,3,20,3,-1,26.738,2.078,0.073599,0.015788,1.536108,0.239435,0.812896,0.292078,19.338452,347.44541,3337.94543,2086.215894
1,3,21,3,-1,27.9,2.018,0.072244,0.014335,1.529404,0.229983,0.826136,0.286503,19.972969,365.780456,3539.182311,2211.988944
1,3,22,3,-1,29.063,1.958,0.071112,0.013095,1.523704,0.220898,0.835018,0.279949,20.613723,382.106364,3723.124884,2326.953053
1,3,23,3,-1,30.225,1.898,0.070149,0.012016,1.518081,0.212485,0.838863,0.272073,21.259014,395.764024,3879.683781,2424.802363
1,3,24,3,-1,31.388,1.838,0.069354,0.011054,1.513269,0.20602,0.838152,0.262399,21.909176,406.708212,3996.557686,2497.848554
1,3,25,3,-1,32.55,1.778,0.068832,0.010265,1.510576,0.198278,0.832672,0.252919,22.563594,414.557554,4098.667837,2561.667398
1,3,26,3,-1,33.713,1.718,0.068555,0.009595,1.509891,0.190698,0.822413,0.242803,23.222631,419.081771,4171.185938,2606.991212
1,3,27,3,-1,34.875,1.658,0.070027,0.009401,1.545951,0.178464,0.825038,0.241692,23.886478,429.264681,4385.583615,2740.98976
1,3,28,3,-1,36.038,1.598,0.070096,0.00885,1.544124,0.172284,0.801179,0.228065,24.552199,424.472693,4354.515706,2721.572316
1,3,29,3,-1,37.2,1.538,0.070488,0.008389,1.544054,0.166237,0.771152,0.213593,25.220421,414.919387,4275.163654,2671.977284
1,3,30,3,-1,38.363,1.478,0.071292,0.007987,1.54574,0.161674,0.734548,0.197495,25.891328,400.281955,4128.718774,2580.449234
1,3,31,3,-1,39.525,1.418,0.072509,0.007685,1.547858,0.15594,0.689596,0.180682,26.5647,379.527511,3930.381863,2456.488664
1,3,32,3,-1,40.688,1.358,0.074273,0.007445,1.548927,0.150677,0.635107,0.162012,27.240545,351.998748,3653.496705,2283.435441
1,3,33,3,-1,41.85,1.298,0.07695,0.007266,1.549289,0.147067,0.570724,0.141086,27.916471,317.529871,3285.023014,2053.139384
