j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,2,31,3,-3,39.525,1.418,0.048221,0.004832,1.548389,0.191924,1.514466,0.375149,26.584655,834.757808,8172.908925,5108.068078
1,2,32,3,-3,40.688,1.358,0.047166,0.004468,1.547778,0.187382,1.51566,0.365381,27.262902,841.411314,8253.123067,5158.201917
1,2,33,3,-3,41.85,1.298,0.046046,0.004113,1.547408,0.184636,1.517472,0.354738,27.942637,845.849285,8275.132772,5171.957983
1,2,34,3,-3,43.013,1.238,0.04486,0.003765,1.547275,0.183648,1.519876,0.343164,28.624891,847.967642,8235.168554,5146.980346
1,2,35,3,-3,44.175,1.178,0.035678,0.002502,1.265987,0.183559,1.255899,0.243176,29.310201,699.037446,5979.206994,3737.004372
1,2,36,3,-3,45.57,1.106,0.034316,0.002253,1.266314,0.180158,1.257266,0.235141,30.13463,694.507022,5919.12668,3699.454175
1,2,37,3,-3,46.5,1.067,0.033633,0.002129,1.266666,0.1765,1.257798,0.231383,30.685756,695.043054,5945.468643,3715.917902
1,2,38,3,-3,47.07,1.028,0.032713,0.002006,1.26665,0.176666,1.258593,0.227062,31.024244,684.925558,5816.305501,3635.190938
1,2,39,3,-3,47.256,0.995,0.031638,0.002032,1.266477,0.163941,1.254663,0.238037,31.139011,665.767523,5968.938069,3730.586293
1,2,40,3,-3,47.442,0.905,0.028678,0.001921,1.264787,0.152344,1.249506,0.248251,31.255805,607.590543,5726.992859,3579.370537
1,2,41,3,-3,47.628,0.748,0.023567,0.001644,1.262445,0.141683,1.243845,0.258249,31.374539,503.715277,4981.033226,3113.145766
1,2,42,3,-3,47.814,0.501,0.015671,0.001139,1.260787,0.131764,1.238812,0.26887,31.495451,338.611266,3513.938905,2196.211816
1,2,43,3,-3,48,0.07,0.002253,0.000173,1.259934,0.12329,1.23447,0.280565,31.620578,47.520502,518.41166,324.007287
1,3,1,3,-1,1.3,2.4,0.333333,5.323407,0,0.355805,0.281824,-0.217192,8.416716,26.353407,-26.402549,-16.501593
1,3,2,3,-1,2.325,2.358,0.333333,2.78238,0,0.356176,0.27482,-0.226573,8.640222,26.607543,-51.001986,-31.876241
1,3,3,3,-1,3.45,2.259,0.333333,1.742671,0,0.355657,0.26606,-0.236017,8.911705,26.253039,-80.345735,-50.216084
1,3,4,3,-1,5.45,2.338,0.333333,0.971492,0,0.359755,0.253457,-0.25531,9.46261,29.183226,-160.211122,-100.131951
1,3,5,3,-1,7.45,2.339,0.333333,0.62915,0,0.3626,0.239366,-0.272365,10.098897,31.405291,-266.224248,-166.390155
1,3,6,3,-1,9.3,2.848,0.333333,0.45276,0,0.373899,0.231689,-0.293463,10.758642,42.007131,-494.827674,-309.267296
1,3,7,3,-1,11.625,3.708,0.0483,0.026673,0.769707,0.444399,0.824588,0.331653,12.091994,245.886784,1149.676312,718.547695
1,3,8,3,-1,12.555,3.672,0.047229,0.021915,0.766206,0.439887,0.829931,0.302962,12.453078,259.932587,1191.30664,744.56665
1,3,9,3,-1,13.95,3.418,0.043258,0.015746,0.758709,0.430227,0.831117,0.264537,13.037057,265.555924,1179.11033,736.943956
1,3,10,3,-1,15.113,3.196,0.06901,0.0439,1.577101,0.343676,1.382665,0.832825,13.560959,446.958613,4068.691743,2542.93234
1,3,11,3,-1,16.275,3.002,0.065852,0.036959,1.585657,0.329465,1.405489,0.804647,14.089703,460.685539,4292.432998,2682.770624
1,3,12,3,-1,17.438,2.833,0.063069,0.031301,1.584867,0.317527,1.420694,0.770881,14.632809,473.985579,4484.856602,2803.035376
1,3,13,3,-1,18.6,2.687,0.060682,0.026818,1.580392,0.306188,1.431317,0.736698,15.189408,488.031386,4672.127131,2920.079457
1,3,14,3,-1,19.763,2.561,0.058401,0.022869,1.560913,0.298895,1.430177,0.693096,15.757147,500.169612,4790.419079,2994.011924
1,3,15,3,-1,20.925,2.452,0.056702,0.019864,1.547662,0.28992,1.430991,0.656943,16.336486,515.035846,4947.587009,3092.24188
1,3,16,3,-1,22.088,2.358,0.05533,0.017445,1.534231,0.280414,1.429577,0.623544,16.927061,531.22317,5117.913075,3198.695672
1,3,17,3,-1,23.25,2.276,0.055974,0.015965,1.567868,0.27768,1.470496,0.610702,17.523461,565.24734,5457.921503,3411.20094
1,3,18,3,-1,24.413,2.203,0.055193,0.014351,1.559281,0.267153,1.470092,0.584428,18.133018,585.682119,5684.201425,3552.625891
1,3,19,3,-1,25.575,2.138,0.054541,0.013,1.549778,0.256133,1.467488,0.560264,18.750355,606.685875,5923.76632,3702.35395
1,3,20,3,-1,26.738,2.078,0.054072,0.011834,1.542021,0.246886,1.466288,0.537382,19.375055,629.091111,6164.6131,3852.883187
