j k i lambda pitch r c a a_prime CL CD Cn Ct V_rel dT dQ dP
1 4 43 3.000 -12.00 48.000 0.070 0.333333 0.024110 1.266364 0.162845 1.272096 0.109399 18.862971 17.426127 71.933975 26.975241
1 5 1 3.000 -11.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 5 2 3.000 -11.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 5 3 3.000 -11.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 5 4 3.000 -11.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 5 5 3.000 -11.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
1 5 6 3.000 -11.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 5 7 3.000 -11.00 11.625 3.708 0.333333 0.319122 1.585293 0.322319 1.485469 0.640645 7.004912 148.652208 745.277672 279.479127
1 5 8 3.000 -11.00 12.555 3.672 0.333333 0.281605 1.585245 0.321367 1.498852 0.608045 7.239379 158.645189 808.016701 303.006263
1 5 9 3.000 -11.00 13.950 3.418 0.333333 0.236433 1.583570 0.311936 1.510901 0.567606 7.605012 164.274660 860.906279 322.839855
1 5 10 3.000 -11.00 15.113 3.196 0.333333 0.206451 1.580967 0.306389 1.519318 0.533859 7.921500 167.584142 889.940891 333.727834
1 5 11 3.000 -11.00 16.275 3.002 0.333333 0.181745 1.570660 0.302787 1.520411 0.496992 8.247290 170.748521 908.377737 340.641651
1 5 12 3.000 -11.00 17.438 2.833 0.333333 0.161122 1.560694 0.298746 1.520048 0.463110 8.582055 174.441221 926.771113 347.539167
1 5 13 3.000 -11.00 18.600 2.687 0.333333 0.143768 1.552802 0.293410 1.519604 0.433693 8.924407 178.862567 949.476074 356.053528
1 5 14 3.000 -11.00 19.763 2.561 0.333333 0.129010 1.544555 0.287721 1.517603 0.406590 9.274191 183.858033 973.494542 365.060453
1 5 15 3.000 -11.00 20.925 2.452 0.333333 0.116381 1.537339 0.282614 1.515836 0.381472 9.630133 189.583292 998.334551 374.375456
